steer_dir, step_count, heading, gyro_x, gyro_y, accel_x, accel_y
0,208,0.06,-2.06,0.94,-0.28,0.21
0,210,0.06,-0.12,0.88,-0.28,0.21
0,213,0.06,0.06,0.94,-0.56,0.2
0,215,0.06,0.06,0.94,-0.56,0.2
0,218,0.06,-0.31,0.5,-0.4,-0.05
0,220,0.06,-0.44,-0.19,0.11,-0.36
0,223,0.0,-0.44,-0.19,0.28,-0.55
0,226,0.0,0.5,-0.81,0.28,-0.55
0,228,0.0,0.94,-0.63,0.0,-0.11
0,230,0.0,0.94,-0.63,0.0,-0.11
0,234,0.0,0.12,-0.5,0.17,-0.67
0,236,0.0,-1.06,-0.37,-0.15,-0.95
0,238,0.0,-1.06,-0.37,-0.15,-0.95
0,241,0.0,-1.63,-0.5,-0.08,-0.88
0,244,0.0,-1.12,-1.0,-0.19,-0.91
0,246,0.0,-1.12,-1.0,-0.19,-0.57
0,248,0.0,-0.31,-0.69,-0.19,-0.57
0,250,0.0,0.19,-0.69,-0.54,-0.11
0,253,0.0,0.19,-0.69,-0.54,-0.11
0,256,0.0,0.75,-0.88,-0.75,0.21
0,258,0.0,0.75,-0.88,-0.19,0.18
0,261,0.0,1.25,-1.25,-0.19,0.18
0,264,0.0,1.25,-0.88,-0.29,0.2
0,266,0.0,1.25,-0.88,-0.03,0.0
0,268,0.0,1.63,-0.56,-0.03,0.0
0,270,0.06,0.94,-0.5,-0.11,0.48
0,272,0.06,0.94,-0.5,-0.11,0.48
0,273,0.06,2.06,-0.63,0.28,0.44
0,276,0.06,2.06,-0.63,0.28,0.44
0,279,0.06,1.37,0.5,0.31,0.36
0,281,0.06,-0.56,1.63,-0.01,-0.45
0,284,0.06,-0.56,1.63,-0.01,-0.45
0,286,0.06,-3.06,1.56,-0.01,-1.25
0,288,0.06,-3.06,1.56,-0.01,-1.25
0,290,0.06,-2.69,0.5,-0.01,-1.89
0,292,0.06,-2.69,0.5,-0.01,-1.89
0,295,0.06,0.12,0.31,-0.3,-0.32
0,298,0.06,1.75,0.88,-0.02,-0.06
0,300,0.06,1.75,0.88,-0.02,-0.06
0,303,0.06,0.19,1.88,-0.98,0.1
0,305,0.06,-1.31,0.94,-0.91,0.31
0,308,0.06,-1.31,0.94,-0.91,0.31
0,310,0.06,-1.12,-0.81,-0.33,0.57
0,311,0.06,0.25,-1.31,0.19,0.79
0,314,0.06,0.25,-1.31,0.19,0.79
0,318,0.06,-0.31,-0.56,-0.12,0.45
0,318,0.06,-0.94,0.06,-0.32,-0.07
0,321,0.06,-0.94,0.06,-0.32,-0.07
0,323,0.06,-0.63,-0.19,-0.31,1.68
0,325,0.06,-0.63,-0.19,-0.31,1.68
0,327,0.06,0.19,-1.31,-0.29,-0.12
0,329,0.06,0.19,-1.31,-0.29,-0.12
0,333,0.06,-1.19,-0.88,-0.49,-0.06
0,335,0.12,-1.88,-0.12,-0.87,-0.27
0,337,0.12,-1.88,-0.12,-0.95,-0.01
0,340,0.12,-1.06,-0.06,-0.95,-0.01
0,342,0.12,1.12,-1.19,-0.3,0.06
0,344,0.12,1.12,-1.19,-0.3,0.06
0,346,0.12,1.69,-1.81,-0.28,0.25
0,348,0.12,1.69,-1.81,-0.28,0.25
0,351,0.12,1.0,-1.12,-0.26,0.26
0,352,0.12,1.0,-1.12,-0.5,0.21
0,355,0.12,0.5,-0.19,-0.5,0.21
0,358,0.12,1.56,-0.44,-0.5,0.49
0,360,0.12,1.56,-0.44,-0.57,1.52
0,362,0.12,1.88,-0.5,-0.57,1.52
0,364,0.12,-0.37,0.25,0.03,0.76
0,366,0.12,-0.37,0.25,0.03,0.76
0,368,0.12,-2.75,1.37,-0.81,0.25
0,370,0.12,-2.75,1.37,-0.81,0.25
0,373,0.12,-3.81,1.19,-0.9,0.52
0,375,0.12,-3.81,1.19,-0.3,-0.38
0,378,0.12,-2.0,-0.06,-0.3,-0.38
0,380,0.12,0.06,-0.31,0.09,-0.07
0,383,0.12,0.06,-0.31,-0.29,0.38
0,386,0.12,0.56,0.63,-0.29,0.38
0,388,0.12,0.0,1.12,-0.3,0.16
0,390,0.12,0.0,1.12,-0.62,0.25
0,393,0.12,-0.81,0.31,-0.62,0.25
0,396,0.12,-0.44,-0.5,-0.27,-0.17
0,398,0.12,-0.44,-0.5,0.2,-0.15
